Date,SBL,SBL_S,Price
2/20,20883,18455,178
2/21,21128,18701,177
2/22,21136,18709,175.5
2/23,21313,18807,176.5
2/26,21267,18841,181
2/27,21206,18788,177
2/29,21063,18645,176.5
3/1,21297,19016,174
3/4,21737,19402,171
3/5,21942,19630,168.5
3/6,22114,19819,167.5
3/7,22348,20098,184
3/8,22701,20521,171
3/11,22880,20756,170.5
3/12,23001,20850,171
3/13,23157,21038,167
3/14,23616,21343,168
3/15,23679,21449,168
3/18,23875,21654,165
3/19,23918,21718,165
3/20,23918,21724,167
3/21,23914,21728,172.5
3/22,23865,21685,172.5
3/25,23845,21605,173
3/26,23908,21662,171
3/27,23959,21714,174
3/28,24027,21767,174
3/29,23990,21731,175.5
4/1,24220,21953,172.5
4/2,24295,22048,172.5
4/3,24356,22119,172
4/8,25121,22165,174
4/9,24460,22176,173.5
4/10,24257,22042,175
4/11,25386,22008,175.5
4/12,24802,22051,172
4/15,24640,21967,166
4/16,25215,22634,159
4/17,25447,22951,158
4/18,25571,23172,157
4/19,25673,23270,145.5
4/22,25843,23337,149
4/23,25676,23178,155
4/24,25471,23024,153.5
4/25,25498,23060,152.5
4/26,25433,22752,153
4/29,25134,22691,159
4/30,25084,22587,158.5
5/2,24778,22300,160.5
5/3,24731,22290,158
5/6,24610,22200,159.5
5/7,24565,22177,156
5/8,24490,22104,157
5/9,24358,22054,152.5
5/10,24240,21998,153
5/13,24318,22036,149.5
5/14,24447,22020,152.5
5/15,24736,22144,154
5/16,24409,22159,163.5
5/17,24559,22195,159
5/20,24490,22150,160.5
5/21,24192,21946,156.5
5/22,24011,21765,154
5/23,24057,21820,155
5/24,23695,21541,153
5/27,23633,21558,152
5/28,23528,21444,154.5
5/29,23539,21467,153.5
5/30,23858,21756,150
5/31,23989,21773,150.5
6/3,23859,21725,151
6/4,23854,21737,152
6/5,23854,21745,152.5
6/6,24134,21978,149.5
6/7,23739,21583,152
6/11,23737,21588,151.5
6/12,24018,21691,150
6/13,24016,21689,148.5
6/14,23780,21513,149
6/17,23620,21353,151
6/18,23571,21304,151.5
6/19,23295,21099,149.5
6/20,22936,20768,151.5
6/21,23006,20851,151.5
6/24,22803,20650,151
6/25,22733,20582,152
6/26,22728,20598,160
6/27,22813,20681,157.5
6/28,22680,20542,164
7/1,22589,20453,164
7/2,23039,20889,159
7/3,23367,21198,160
7/4,23147,20985,157.5
7/5,23106,20971,159
7/8,23102,20936,158
7/9,23032,20898,157
7/10,23005,20924,157.5
7/11,23134,21102,153.5
7/12,23285,21053,154
7/15,23126,20951,160.5
7/16,23050,20875,160
7/17,22422,20252,171.5
7/18,22334,20164,170
7/19,21930,19749,169
7/22,21948,19780,185.5
7/23,21849,19681,185
7/26,21499,19588,170
7/29,21153,19212,160
7/30,22688,18940,162.5
7/31,23074,18627,158.5
8/1,22918,18471,161
8/2,23096,18645,153.5
8/5,23129,18739,138.5
8/6,23193,18772,132.5
8/7,23242,18812,139
8/8,23202,18788,140.5
8/9,23184,18807,141.5
8/12,23223,18818,143
8/13,23240,18820,142
8/14,23026,18610,145
8/15,23217,18696,147.5
8/16,22777,18676,152
8/19,22685,18586,151.5
8/20,22498,18438,154
8/21,22844,18294,155
8/22,22563,18416,159
8/23,22358,18613,158.5
8/26,22148,18404,158
8/27,22503,18789,162
8/28,25989,19326,161.5
8/29,26556,19764,158
8/30,26059,20043,162
9/2,26267,20660,158.5
9/3,26270,21537,157.5
9/4,27129,21560,150
9/5,27592,21636,146.5
9/6,27197,21437,145.5
9/9,26842,21447,155
9/10,28354,22064,150.5
9/11,28353,22650,151
9/12,27467,23257,157
9/13,28889,23056,154.5
9/16,27866,22740,146.5
9/18,28093,23247,143
9/19,28207,23594,145
9/20,28530,23840,145
9/23,30791,24401,141.5
9/24,31408,24833,140
9/25,31440,24968,142
9/26,31563,25468,140.5
9/27,31638,26010,141.5
9/30,32744,26202,143
10/1,32654,26121,144.5
10/4,32885,26140,142
10/7,32861,25833,139
10/8,32548,25507,142.5
10/9,32612,25571,139
10/11,32298,25345,137
10/14,31823,25023,138.5
10/15,31918,25076,140
10/16,31378,25055,138.5
10/17,30954,24628,140
10/18,29660,23423,139
10/21,29713,23486,140
