Date,SBL,SBL_S,Price
11/7,19955,16236,38.95
11/8,19725,16014,38.55
11/11,19885,15906,38.75
11/12,20019,16093,36.8
11/13,19955,16052,36.2
11/14,19971,16068,35.2
11/15,19499,15731,35.3
11/18,19304,15618,34.6
11/19,19152,15502,35.55
11/20,19072,15423,35.8
11/21,18774,15126,35.85
11/22,18725,15085,37.05
11/25,18432,14805,38
11/26,18236,14609,38.95
11/27,17954,14327,39.1
11/28,17579,13953,39.25
11/29,17338,13712,40
12/2,17104,13499,39.8
12/3,16673,13068,40.25
12/4,16495,12907,41
12/5,16229,12641,39.35
12/6,15298,11856,37.4
12/9,14935,11493,36.65
12/10,14731,11290,36.75
12/11,14723,11282,37.1
12/12,14711,11269,37
12/13,14808,11373,35.45
12/16,14766,11335,33.75
12/17,13041,11282,34.25
12/18,13069,11301,34.4
12/19,13147,11370,33.6
12/20,13021,11266,33.05
12/23,12992,11242,33.35
12/24,12955,11205,33.7
12/25,12934,11193,33.3
12/26,12835,11100,33.8
12/27,12858,11123,33.7
12/30,12942,11207,33.1
12/31,12901,11175,33
1/2,12975,11282,32.65
1/3,13089,11355,32.2
1/6,13002,11284,32.8
1/7,13038,11366,32.2
1/8,13117,11453,32
1/9,13055,11391,31.15
1/10,13089,11425,31.45
